s1,s2,rate,sel,arrow_color,box_color,dashed_arrow,direction
Glc,All,15301.874158372651, 1.1046186389372123,12,13,False,both
Glc,Gal,5406.052704709827, 1.1010294423827778,12,13,False,both
Glc,Man,3081.0571102017593, 5.117632219503642,12,13,False,both
All,Gul,4417.41878099147, -14.893229618571524,19,13,False,both
Gul,Gal,7143.924691122882, 20.6151011423547,4,13,False,both
Gal,Tal,8030.790054565239, 21.818684935483084,4,13,False,both
Tal,Man,6800.291414624909, -21.580338807211955,4,13,False,both
Man,Alt,5514.196193944934, -20.598720669500302,4,13,False,both
Alt,All,2085.3079621791885, 14.222839220674421,19,13,False,both
Alt,Ido,999.9940508958343, 7.109655829761684,13,15,False,both
Tal,Ido,2090.6346900714825, -24.033691493134185,7,15,False,both
Ido,Gul,1182.044361016479, 19.561375790185163,13,15,False,both